IR,RED
65097.0,68501.0
65065.0,68531.0
65084.0,68564.0
65050.0,68543.0
65035.0,68569.0
65044.0,68549.0
65062.0,68549.0
65077.0,68528.0
65096.0,68530.0
65062.0,68565.0
65070.0,68561.0
65057.0,68572.0
65054.0,68579.0
65049.0,68552.0
65091.0,68538.0
65073.0,68547.0
65065.0,68594.0
65076.0,68604.0
65064.0,68602.0
65052.0,68594.0
65063.0,68576.0
65087.0,68561.0
65105.0,68544.0
65094.0,68580.0
65085.0,68611.0
65069.0,68640.0
65092.0,68615.0
65063.0,68617.0
65088.0,68593.0
65114.0,68580.0
65098.0,68633.0
65079.0,68626.0
65091.0,68625.0
65057.0,68615.0
65109.0,68598.0
65107.0,68595.0
65123.0,68609.0
65093.0,68662.0
65091.0,68656.0
65087.0,68637.0
65072.0,68616.0
65068.0,68612.0
65132.0,68617.0
65096.0,68634.0
65100.0,68659.0
65098.0,68639.0
65102.0,68641.0
65077.0,68638.0
65096.0,68629.0
65125.0,68635.0
65133.0,68614.0
65100.0,68660.0
65108.0,68662.0
65091.0,68640.0
65105.0,68634.0
65149.0,68621.0
65130.0,68651.0
65095.0,68670.0
65083.0,68656.0
65081.0,68663.0
65093.0,68636.0
65135.0,68652.0
65115.0,68652.0
65113.0,68694.0
65091.0,68668.0
65102.0,68661.0
65097.0,68664.0
65108.0,68661.0
65134.0,68644.0
65083.0,68666.0
65111.0,68708.0
65098.0,68685.0
65087.0,68703.0
65106.0,68676.0
65103.0,68664.0
65095.0,68671.0
65132.0,68651.0
65100.0,68702.0
65111.0,68688.0
65103.0,68663.0
65095.0,68651.0
65135.0,68680.0
65116.0,68666.0
65107.0,68674.0
65098.0,68727.0
65098.0,68704.0
65068.0,68680.0
65096.0,68697.0
65132.0,68659.0
65136.0,68664.0
65135.0,68704.0
65117.0,68710.0
65105.0,68714.0
65109.0,68719.0
65119.0,68702.0
65084.0,68661.0
65108.0,68703.0
65137.0,68671.0
65112.0,68679.0
65124.0,68723.0
65113.0,68699.0
65097.0,68696.0
65096.0,68714.0
65120.0,68690.0
65137.0,68677.0
65105.0,68733.0
65112.0,68720.0
65113.0,68700.0
65099.0,68702.0
65127.0,68690.0
65119.0,68685.0
65104.0,68730.0
65096.0,68693.0
65083.0,68697.0
65083.0,68697.0
64855.0,68359.0
64862.0,68357.0
64850.0,68371.0
64845.0,68359.0
64850.0,68365.0
64851.0,68347.0
64882.0,68355.0
64875.0,68340.0
64870.0,68368.0
64855.0,68359.0
64862.0,68357.0
64850.0,68371.0
64857.0,68355.0
64869.0,68336.0
64879.0,68360.0
64874.0,68377.0
64861.0,68375.0
64876.0,68403.0
64836.0,68369.0
64868.0,68376.0
64862.0,68358.0
64889.0,68375.0
64885.0,68342.0
64868.0,68400.0
64870.0,68411.0
64869.0,68391.0
64855.0,68386.0
64864.0,68397.0
64882.0,68372.0
64879.0,68371.0
64871.0,68403.0
64853.0,68394.0
64856.0,68394.0
64833.0,68380.0
64867.0,68374.0
64870.0,68375.0
64889.0,68396.0
64863.0,68373.0
64865.0,68367.0
64853.0,68359.0
64865.0,68355.0
64895.0,68354.0
64887.0,68339.0
64871.0,68343.0
64859.0,68370.0
64861.0,68359.0
64827.0,68359.0
64839.0,68344.0
64839.0,68322.0
64854.0,68339.0
64885.0,68314.0
64867.0,68331.0
64851.0,68347.0
64849.0,68342.0
64850.0,68347.0
64845.0,68334.0
64842.0,68314.0
64877.0,68292.0
64858.0,68291.0
64872.0,68307.0
64833.0,68357.0
64853.0,68342.0
64828.0,68344.0
64830.0,68323.0
64828.0,68314.0
64847.0,68319.0
64890.0,68304.0
64864.0,68322.0
64860.0,68360.0
64834.0,68323.0
64835.0,68333.0
64837.0,68317.0
64871.0,68310.0
64863.0,68313.0
64861.0,68336.0
64858.0,68354.0
64859.0,68333.0
64846.0,68330.0
64859.0,68333.0
64880.0,68308.0
64858.0,68318.0
64854.0,68340.0
64839.0,68325.0
64840.0,68332.0
64848.0,68321.0
